job_company,job_date,job_salary,job_title
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,MO Analyst - Container Platform + Big Data (Taichung/Tainan)
全景軟體股份有限公司,4/18,"月薪 32,000~50,000元",技術專案工程師(台北/新竹)
北祥股份有限公司,4/18,待遇面議,SQL Server資料庫管理師
聯合財信資產管理股份有限公司,4/18,"月薪 30,000~45,000元",程式設計師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【MKTG】Sr. Web Application Developer(中和)
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,Assistant IT Manager
高鐵_台灣高速鐵路股份有限公司,4/18,待遇面議,應用系統工程師(營收資訊系統課)
永磐科技股份有限公司,4/18,"月薪 32,000~40,000元",網路維護駐點工程師(二)
昊聲訊息技術有限公司,4/18,"月薪 30,000~55,000元",[第三事業處] Java 開發工程師 (工作地點:新竹)
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),4/18,待遇面議,"IT LEAD, SOFTWARE SERVICES"
慧友電子股份有限公司,4/18,待遇面議,Android App Developer
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",軟體工程師(B)
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(證券)
裕榮食品股份有限公司,4/18,"月薪 40,000~45,000元",主辦會計/成本會計
凌群電腦股份有限公司,4/18,待遇面議,系統規劃經理(公用-技術支援)
日月光半導體製造股份有限公司,4/18,"月薪 30,000~60,000元",技術工程類 - CIM自動化工程師【高雄】
哈瑪星科技股份有限公司,4/18,"月薪 36,000~45,000元",網管工程師-台北(HN)
永慶房產集團_永慶房屋仲介股份有限公司,4/18,待遇面議,App開發工程師(iOS/Android) B12
和泰產物保險股份有限公司,4/18,待遇面議,2019/6/1和泰TOYOTA集團聯合招募會-資訊菁英人員
優得利有限公司,4/18,"月薪 25,000~28,000元",電腦駐廠工程師(新竹科學園區)
富惟工業股份有限公司,4/18,待遇面議,MIS 工程師
天賜爾生物科技股份有限公司,4/18,待遇面議,資訊管理師
升鼎科技股份有限公司,4/18,"月薪 50,000~130,000元",前端工程師
萬寶華企業管理顧問股份有限公司,4/18,待遇面議,[知名外商Z] Software Engineer-Taiwan Device Farm - 105JP
創為人力資源有限公司,4/18,待遇面議,亞洲遊戲公司台灣技術團隊徵 【遊戲APP開發工程師】
