job_company,job_date,job_salary,job_title
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,IT Infra support
永磐科技股份有限公司,4/18,"月薪 35,000~55,000元",系統工程師
戰國策網路科技股份有限公司,4/18,待遇面議,WordPress & WooCommerce客製化工程師(增加收入外包接案~精通wp外掛)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【LAB】(Sr.) Software Engineer in Validation(中和)
諦諾科技股份有限公司,4/18,"年薪 840,000~1,200,000元",Frontend Engineer 前端工程師
圓剛科技股份有限公司,4/18,待遇面議,Embedded system 韌體開發工程師
好險網科技股份有限公司,4/18,待遇面議,(資深) PHP 工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【TS】(Sr.) Software Application Engineer(中和)-TC18035
永磐科技股份有限公司,4/18,待遇面議,資安工程師
全景軟體股份有限公司,4/18,"月薪 32,000~50,000元",軟體專案技術工程師FAE(台北)
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【FW】(Sr.) Power Supply Design Engineer(中和)-TC18064
永磐科技股份有限公司,4/18,"月薪 32,000~45,000元",網路工程師
昊聲訊息技術有限公司,4/18,"月薪 30,000~55,000元",[第一事業處] Java 開發工程師 (工作地點:新竹)
總公司_長頸鹿文化事業股份有限公司,4/18,待遇面議,遊戲設計工程師
圓剛科技股份有限公司,4/18,待遇面議,Firmware Deputy Manager / Principle Engineer
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",DSP韌體工程師
躍立管理顧問有限公司,4/18,待遇面議,Support Engineer - Data Analyst (新竹美商Q)
凌群電腦股份有限公司,4/18,待遇面議,系統Presales
保誠人壽保險股份有限公司_總公司,4/18,待遇面議,系統分析與開發人員(COBOL)
慧友電子股份有限公司,4/18,待遇面議,Android App Developer
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",軟體工程師(RD1)
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",日文軟體工程師(服務整合)
凌群電腦股份有限公司,4/18,待遇面議,資深軟體工程師(證券1)
