job_company,job_date,job_salary,job_title
新時代多媒體有限公司,2019-04-18,"月薪 50,000~100,000元",網站前端工程師
盈德網絡服務有限公司,2019-04-18,面議（經常性薪資4萬含以上）,5加2_前端網頁開發工程師(JAVA)
宏傑資訊股份有限公司,2019-04-17,面議（經常性薪資4萬含以上）,"JSP Web(具PM,SA,PG能力)資深工程師"
互聯服務有限公司,2019-04-15,"月薪 50,000~60,000元",軟體工程師
碩華資產股份有限公司,2019-04-19,"月薪 50,000~70,000元",網頁前端工程師（VUEJS）
碩華資產股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,php客服工程師
新時代多媒體有限公司,2019-04-19,面議（經常性薪資4萬含以上）,SA系統工程師
永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),2019-04-19,面議（經常性薪資4萬含以上）,S-軟體開發工程師(資訊處-應用一科)
艾薩克科技有限公司,2019-04-19,"月薪 23,100~100,000元",程式設計
網繹數位科技股份有限公司,2019-04-19,"月薪 38,000~78,000元",APP工程師
所羅門股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,5加2_(ABU) 自動化事業 -軟體 專業人才
所羅門股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,5加2_(VBU) 視覺產品- AI軟體 工程師
所羅門股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,5加2_(VBU) 視覺產品- WPF軟體工程師
碩華資產股份有限公司,2019-04-19,"月薪 40,000~50,000元",PHP 初階工程師
碩華資產股份有限公司,2019-04-19,"月薪 50,000~60,000元",PHP 開發工程師
碩華資產股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,網頁前端工程師（開發）
微風廣場實業股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,微風數位時代-資深前端工程師
微風廣場實業股份有限公司,2019-04-19,"月薪 35,000~45,000元",微風數位時代-前端工程師
兆琪實業股份有限公司台北分公司,2019-04-19,面議（經常性薪資4萬含以上）,ERP軟體管理師
精誠資訊股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,SAP ByDesign-B21C
神通資訊科技股份有限公司,2019-04-19,"月薪 35,000~60,000元",RA04_JAVA軟體高級工程師
精誠資訊股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,專案經理-F60E
精誠資訊股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,大數據 Java 軟體工程師-T10R
白吃貓股份有限公司,2019-04-19,"月薪 30,000~80,000元",JAVA工程師-1
精誠資訊股份有限公司,2019-04-19,"月薪 45,000~65,000元",網頁資深程式設計師-F62N
精誠資訊股份有限公司,2019-04-19,"月薪 32,000~45,000元",網頁程式設計師-F62N
精誠資訊股份有限公司,2019-04-19,"月薪 32,000~45,000元",程式設計師(主機)-F62R
精誠資訊股份有限公司,2019-04-19,"月薪 30,000~70,000元",ERP軟體開發工程師-B21C
精誠資訊股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,系統分析師-F22R
黑科技有限公司,2019-04-19,"月薪 40,000~80,000元",Web and Mobile Application Developer
黑科技有限公司,2019-04-19,"月薪 40,000~120,000元",IT Project Manager - Web and Mobile App
黑科技有限公司,2019-04-19,"月薪 40,000~50,000元",UI 設計
黑科技有限公司,2019-04-19,"月薪 40,000~80,000元",IOS & Android 開發工程師
黑科技有限公司,2019-04-19,"月薪 40,000~100,000元",軟體專案主管
聯雅科技股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,★薪資四萬以上【韌體工程師】意者投遞履歷
上銀科技股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,ASP.NET C#程式設計師
上銀科技股份有限公司,2019-04-19,面議（經常性薪資4萬含以上）,(台北)機器人軟體開發工程師
上銀科技股份有限公司,2019-04-19,月薪面議（經常性薪資四萬(含)以上）,(台北)ERP/MES程式設計師
有新科技顧問股份有限公司,2019-04-19,"月薪 35,000~55,000元",軟體開發工程師、軟體開發副理
藍瓜知識科技有限公司.,2019-04-18,"年薪 1,000,000~1,500,000元",資深 UI/UX 設計師
藍瓜知識科技有限公司.,2019-04-18,"年薪 900,000~1,200,000元",Android App 研發工程師
藍瓜知識科技有限公司.,2019-04-18,"年薪 900,000~1,200,000元",iOS App 研發工程師
蓋德科技股份有限公司,2019-04-18,"月薪 30,000~60,000元",APP工程師
華藝互動科技有限公司,2019-04-18,面議（經常性薪資4萬含以上）,PHP程式設計師
華藝互動科技有限公司,2019-04-18,面議（經常性薪資4萬含以上）,PHP工程師
全球商務股份有限公司,2019-04-18,"月薪 45,000元",5+2_PG人員(程式設計師)
全球商務股份有限公司,2019-04-18,面議（經常性薪資 4 萬含以上）,科服部資訊程式設計師(MIS)
中國信託金融控股股份有限公司(中國信託),2019-04-18,面議（經常性薪資4萬含以上）,行政_資訊規劃人員
中國信託金融控股股份有限公司(中國信託),2019-04-18,面議（經常性薪資4萬含以上）,數據研究發展中心_資深智能視覺科學家
中國信託金融控股股份有限公司(中國信託),2019-04-18,面議（經常性薪資4萬含以上）,行政_數據應用工程師
志光數位學院_智基科技開發股份有限公司,2019-04-18,"月薪 33,000~38,000元",網路程式設計師
永慶房產集團_永慶房屋仲介股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,5加2_軟體開發工程師(MVC .NET C#)
創樂科技有限公司,2019-04-18,面議（經常性薪資4萬含以上）,▲ 軟體測試工程師
亞虎科技股份有限公司,2019-04-18,"月薪 30,000~60,000元",遊戲程式設計師(前端)
亞虎科技股份有限公司,2019-04-18,"月薪 30,000~60,000元",遊戲程式設計師(後端)
兆豐證券股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,證券公司資訊人員(應用系統二部)
英屬開曼群島商愛實境股份有限 公司,2019-04-18,"月薪 80,000~120,000元",5加2_高級後端工程師
英屬開曼群島商愛實境股份有限 公司,2019-04-18,"月薪 55,000~75,000元",5加2_後端 工程師
英屬開曼群島商愛實境股份有限 公司,2019-04-18,"月薪 55,000~75,000元",5加2_前端工程師
大同股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,(研發設計類)-.NET ASP程式設計師-電腦與機電事業部
新時代多媒體有限公司,2019-04-18,"月薪 50,000~100,000元",PHP工程師
新時代多媒體有限公司,2019-04-18,"月薪 50,000~100,000元",網站前端工程師
新時代多媒體有限公司,2019-04-18,"月薪 50,000~100,000元",Java工程師/資深Java工程師
采盟股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資訊專案主管
采盟股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資安專案主管
采盟股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資料庫及系統開發專案管理
采盟股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,JAVA Developer
采盟股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,IOS/Android研發工程師
采盟股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,系統整合工程師/專案主管
益丰科技,2019-04-18,面議（經常性薪資4萬含以上）,台灣區 安全運維工程師（中高級）
旺喜達有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資訊設施及系統工程師
康禾泰利國際有限公司,2019-04-18,面議（經常性薪資4萬含以上）,網站前後端工程師
康禾泰利國際有限公司,2019-04-18,"月薪 30,000~40,000元",APP工程師
盈德網絡服務有限公司,2019-04-18,面議（經常性薪資4萬含以上）,5加2_前端網頁開發工程師(JAVA)
微風廣場實業股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,數位時代-APP程式工程師
永豐餘投資控股股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,Z2- Web軟體開發工程師 (台北）
大同股份有限公司,2019-04-18,"月薪 30,000~45,000元",(研發設計類) App程式設計師-AEBU
傑騰智能股份有限公司,2019-04-18,"月薪 40,000~60,000元",5加2_應用開發工程師
傑騰智能股份有限公司,2019-04-18,"月薪 45,000~60,000元",5加2_人工智慧建模工程師
岱宇國際股份有限公司.,2019-04-18,面議（經常性薪資4萬含以上）,Java工程師(工作地:台北)
遠時數位科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,friDay購物 - 資深Java工程師
遠時數位科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,friDay購物 - Senior iOS Software Engineer
遠時數位科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,friDay購物 - Senior Backend Engineer (PHP)
遠時數位科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,friDay購物 - Backend Engineer (PHP)
多博科技股份有限公司,2019-04-18,"月薪 65,000~140,000元",5+2_iOS App 開發工程師 Base on React Native
多博科技股份有限公司,2019-04-18,"月薪 65,000~140,000元",5+2_Android App 開發工程師 Base on React Native
多博科技股份有限公司,2019-04-18,"月薪 60,000~120,000元",5+2_.NET C# MVC 企業內部系統開發
優立迅有限公司,2019-04-18,"月薪 27,000~32,000元",助理軟體工程師(可培訓)
多博科技股份有限公司,2019-04-18,"月薪 60,000~130,000元",5+2_Java 跨境電子商務網站開發工程師
集盟國際股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,軟體設計工程師
臺北市立聯合醫院,2019-04-18,"月薪 35,000~37,000元",院本部醫療事務室招募儲備員一級約用管理師公告
裕融企業股份有限公司,2019-04-18,"月薪 32,000~120,000元",資訊-JAVA系統開發工程師
裕融企業股份有限公司,2019-04-18,"月薪 32,000~120,000元",資訊-JAVA資訊人員(資深專員/主任)
財團法人資訊工業策進會(資策會),2019-04-18,面議（經常性薪資4萬含以上）,【前瞻中心】影音系統軟體開發工程師
財團法人資訊工業策進會(資策會),2019-04-18,面議（經常性薪資4萬含以上）,【前瞻中心】雲端系統軟體開發工程師
斯其大科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資料庫工程師
(三井日本料理餐廳有限公司 )三井餐飲事業集團,2019-04-18,面議（經常性薪資4萬含以上）,【總管理處】系統管理高級技術專員
中租迪和股份有限公司,2019-04-18,"月薪 30,000~70,000元",【中租超力士】.Net 程式設計師
中租迪和股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【中租超力士】AI應用孵化師
中租迪和股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【中租超力士】APP開發工程師
中租迪和股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【中租超力士】ITP_國際人才_資訊人員
中租迪和股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【中租超力士】商業智慧開發人員
中華民國徵信協會,2019-04-18,"月薪 34,000~40,000元",軟體工程師-資管部
洛碁實業股份有限公司,2019-04-18,"月薪 38,000~42,000元",軟體工程師
萊爾富國際股份有限公司,2019-04-18,"月薪 30,000~40,000元",【總公司】資訊系統程式設計師
灼灼科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,[108年研發替代役] Junior Computer Vision and Machine Learning Researcher
灼灼科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,[108年研發替代役] Android App Engineer
灼灼科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,[108年研發替代役] Junior Data Scientist
薩摩亞商絕勝國際股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,產品專案經理
原創網路服務股份有限公司,2019-04-18,"月薪 36,000~50,000元",C#開發工程師
合作金庫商業銀行股份有限公司,2019-04-18,"月薪 42,100~63,200元",資訊專業人員
創樂科技有限公司,2019-04-18,面議（經常性薪資4萬含以上）,▲ WEB 前端工程師 (Web Developer)
大同股份有限公司,2019-04-18,"月薪 30,000~40,000元",(工程技術類)-程式設計師-電腦與機電事業部
經絡動力醫學股份有限公司,2019-04-18,"月薪 32,000~36,000元",助理軟體工程師
英屬維京群島商康達國際有限公司(台灣辦事處),2019-04-18,"月薪 50,000~70,000元",資訊部主任
大同股份有限公司,2019-04-18,"月薪 30,000~46,000元",(研發設計類)-軟體開發工程師-智慧電表事業部
"Sansay, Inc.",2019-04-18,面議（經常性薪資4萬含以上）,美商-軟體整合測試工程師 (Software Integration and Test Engineer)
大同股份有限公司,2019-04-18,"月薪 30,000~80,000元",(研發設計類)-雲端工程師-智慧系統處
大同股份有限公司,2019-04-18,"月薪 36,000~60,000元",108年研發替代役-軟體工程師-中研所
老爺管理顧問股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,軟體工程師
中茂文化有限公司,2019-04-18,"論件計酬 20,000元",科技軟體翻譯師
台灣屈臣氏個人用品商店股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,Software Development Engineer
星瑞林股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,軟體工程師 （自動化控制）
創樂科技有限公司,2019-04-18,"月薪 55,000~80,000元",Java Backend Developer
臺北榮民總醫院,2019-04-18,"月薪 53,000~58,000元",契約資訊工程師
星瑞林股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,自動化控制工程師
可樂旅遊_康福旅行社股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資深程式設計師(內湖)
可樂旅遊_康福旅行社股份有限公司,2019-04-18,"月薪 31,000~36,000元",網頁設計
三民書局股份有限公司,2019-04-18,"月薪 40,000~55,000元",網頁工程師
力億企業股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,數位電源韌體工程師
緯創軟體股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【 2019軟體技術人才招募】iOS 工程師
緯創軟體股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【 2019軟體技術人才招募】Java SD / PG
緯創軟體股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【 2019軟體技術人才招募】Python 工程師
緯創軟體股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,【 2019軟體技術人才招募】大數據工程師
"Sansay, Inc.",2019-04-18,面議（經常性薪資4萬含以上）,System Support Engineer  美商電信系統支援工程師
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,L-語言資料分析人員（台灣用語）
大同股份有限公司,2019-04-18,"月薪 30,000~40,000元",(研發設計類)-軟體設計工程師-智慧電表事業部
大陸工程股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資深應用系統開發工程師
斯其大科技股份有限公司,2019-04-18,"月薪 30,000~50,000元",韌體工程師
核心技術有限公司,2019-04-18,"月薪 40,000~120,000元",台北101上班 PHP程式設計師(月薪4萬以上~12萬)
核心技術有限公司,2019-04-18,"月薪 40,000~120,000元",台北101上班 軟體設計工程師(月薪4萬~12萬以上)
吉帝旅行社有限公司,2019-04-18,"月薪 60,000元",網頁前端工程師
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,U-UX INTERACTION DESIGNER
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,U-C++ ENGINEER
大同股份有限公司,2019-04-18,"月薪 30,000~80,000元",(研發設計類)-資料分析師-智慧系統處數據分析部
愛比科技股份有限公司,2019-04-18,"月薪 32,000~40,000元",PHP後端工程師
康乾科技有限公司,2019-04-18,"月薪 40,000~45,000元",軟體測試工程師
台北市立關渡醫院,2019-04-18,"月薪 36,500~55,000元",資訊工程師
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,R-PHP工程師
日月光半導體製造股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,技術工程類 - 產品開發經副理/主任【台北】
聯浚電訊股份有限公司,2019-04-18,"月薪 35,000~60,000元",系統維護工程師 ( 台北地區)
東南旅行社股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,資深前端工程師 Senior React.js Frontend Developer(資訊本部)
台灣天虹時尚創意產業有限公司,2019-04-18,"月薪 27,000~37,000元",軟體開發工程師
大同股份有限公司,2019-04-18,"月薪 30,000~40,000元",(研發設計類)-Java工程師-智慧系統處
大同股份有限公司,2019-04-18,"月薪 36,000~40,000元",(研發設計類)-韌體設計工程師-智慧電表事業部
大陸工程股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,應用系統開發工程師
永豐餘投資控股股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,Z2-Web Base 軟體開發工程師(台北)
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,R-自動化測試工程師
歐格電子工業股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,Android APP軟體工程師
歐格電子工業股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,IOS APP軟體工程師
歐格電子工業股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,演算法工程師
大同股份有限公司,2019-04-18,"月薪 30,000~40,000元",(研發設計類)-Java程式設計師-電腦與機電事業部
天母之星商務會館,2019-04-18,時薪 170~180元,軟硬體工程師
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,R-Python 工程師
汎卓科技股份有限公司,2019-04-18,"月薪 35,000~60,000元",.NET MVC 程式設計師 (3.5萬~6萬)
網繹數位科技股份有限公司,2019-04-18,"月薪 38,000~78,000元",網站程式設計師 B
智網通科技股份有限公司,2019-04-18,"月薪 50,000~90,000元",系統分析專案管理
智網通科技股份有限公司,2019-04-18,"月薪 35,000~50,000元",JAVA Programmer(Web APP)
財團法人資訊工業策進會(資策會),2019-04-18,面議（經常性薪資4萬含以上）,【資訊處】系統工程師
東南旅行社股份有限公司,2019-04-18,"月薪 32,000~65,000元",前端工程師 Frontend Engineer(資訊本部)
中華電視股份有限公司,2019-04-18,"月薪 30,000~43,000元",網站程式設計師（約聘）
微風廣場實業股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,web developer
微風廣場實業股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,software engineer
華南永昌綜合證券股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,程式設計師
中華電視股份有限公司,2019-04-18,"月薪 30,000~45,000元",Android APP工程師（約聘）
Megais_邁格數位有限公司,2019-04-18,面議（經常性薪資4萬含以上）,網站程式設計師
群豐資訊科技股份有限公司,2019-04-18,"月薪 32,000~45,000元",程式設計師
珊咪部落科技有限公司,2019-04-18,面議（經常性薪資4萬含以上）,網頁 / 後端工程師
東南旅行社股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資深網站前端工程師(行銷企劃部)
凌越資訊股份有限公司,2019-04-18,"月薪 31,000~34,000元",軟體助理工程師
中菲行國際物流股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,資訊程式設計師
凌越資訊股份有限公司,2019-04-18,"月薪 34,000~35,000元",WEB程式設計師
晏晟科技股份有限公司,2019-04-18,面議（經常性薪資4萬含以上）,軟體專案經理(PM)
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,R-Sr. iOS Developer
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,R-Android 開發工程師
中華全球食物股份有限公司 (中華食物網),2019-04-18,面議（經常性薪資4萬含以上）,全端開發工程師Full Stack Developer
歐格電子工業股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,韌體工程師
永豐金融控股股份有限公司(永豐銀行/永豐金證券/永豐金租賃),2019-04-18,面議（經常性薪資4萬含以上）,S-IBM AS400 應用系統開發人員-RPGLE 語言 (資訊部應用二科)
安迅資訊系統股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,專業軟體服務工程師Professional Services Consultant
緯創軟體股份有限公司,2019-04-18,月薪面議（經常性薪資四萬(含)以上）,R-MES (Location : Taipei)
振興醫療財團法人振興醫院CHENG HSIN GENERAL HOSPITAL,2019-04-18,"月薪 31,000~42,000元",資訊室程式設計師/架構師
馬偕紀念醫院,2019-04-18,"月薪 37,600~39,600元",台北院區 資訊室/系統規劃課 程式設計師(5/22)
"安群科技股份有限公司Angroup Technology Co., Ltd.",2019-04-18,"月薪 28,000~45,000元",系統軟體業務工程師
力廣系統科技有限公司,2019-04-18,"月薪 35,000~45,000元",研發人員
"安群科技股份有限公司Angroup Technology Co., Ltd.",2019-04-18,"月薪 28,000~45,000元",軟體服務工程師
